name,party,state,district,legislature,profile_link
143 Pérez Ramos Elena,MORENA,Chiapas,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=520
144 Peña Escalante Rosangela Amairany,MORENA,Sonora,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=749
145 Peñaloza Pérez Pedro Sergio,MORENA,Guerrero,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=451
146 Polevnsky Gurwitz Yeidckol,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=489
147 Porras Domínguez Alfredo,MORENA,Baja California Sur,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=13
148 Prado de los Santos Miguel,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=494
149 Ramírez Jiménez Víctor Manuel,MORENA,Oaxaca,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=703
150 Ramírez Ortiz Abel,MORENA,Veracruz,Dtto. 17,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=788
151 Ramírez Padilla Julieta Andrea,MORENA,Baja California,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=5
152 Ramiro Alejo Brenda,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=450
153 Rendón Ramírez Marisol,MORENA,Guerrero,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=591
154 Reyes Carmona Emmanuel,MORENA,Guanajuato,Dtto. 13,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=87
155 Reyes Silva María del Rosario,MORENA,Guerrero,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=454
156 Rincon Chanona Sonia,MORENA,Chiapas,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=412
157 Ríos Cheno Bernardo,MORENA,Sonora,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=750
158 Ritter Ocampo Klaus Uwe,MORENA,Morelos,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=457
159 Robledo Ruiz Juan Ramiro,MORENA,San Luis Potosí,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=376
160 Robles Frutos María Guadalupe,MORENA,Morelos,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=681
